Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
71,Eric Gordon,SG,30,HOU,11,410,12.7,.604,.633,.187,1.4,6.1,3.8,5.7,0.9,2.5,14.3,20.5,,0.3,0.3,0.6,.069,,1.3,-0.8,0.5,0.3,2019,True
72,Treveon Graham,SG,25,BRK,5,79,0.7,.277,.700,.600,2.4,11.3,6.5,4.9,1.8,0.9,19.2,8.1,,-0.1,0.0,-0.1,-0.082,,-7.3,-0.4,-7.7,-0.1,2019,True
73,Jerami Grant,PF,24,OKC,5,176,13.1,.634,.500,.325,3.6,13.1,8.3,3.4,0.8,4.8,8.0,12.1,,0.3,0.1,0.4,.108,,0.6,1.9,2.5,0.2,2019,True
74,Jerian Grant,PG,26,ORL,3,14,-3.2,.239,.700,.100,0.0,33.6,15.6,40.6,0.0,0.0,8.7,36.3,,-0.1,0.0,-0.1,-0.389,,-10.8,-3.9,-14.7,0.0,2019,True
75,Danny Green,SG,31,TOR,24,684,7.7,.503,.768,.148,2.7,11.3,7.0,5.4,2.4,1.6,13.6,12.7,,-0.3,1.1,0.8,.058,,-2.2,1.5,-0.7,0.2,2019,True
76,Draymond Green,PF,28,GSW,22,851,16.6,.561,.249,.310,5.7,23.9,15.1,30.8,1.9,3.8,24.2,17.5,,0.9,1.0,1.9,.106,,0.3,3.2,3.6,1.2,2019,True
77,Gerald Green,SG,33,HOU,11,97,7.2,.462,.725,.125,0.0,13.5,7.0,1.6,1.5,2.9,6.6,20.7,,-0.1,0.1,0.0,.009,,-2.7,-0.7,-3.3,0.0,2019,True
78,JaMychal Green,PF,28,LAC,6,141,13.0,.696,.535,.233,4.5,21.9,12.6,5.3,1.3,0.0,18.8,17.2,,0.2,-0.1,0.1,.034,,-0.2,-0.5,-0.6,0.0,2019,True
79,Blake Griffin,PF,29,DET,2,58,25.3,.582,.333,.179,6.1,16.1,10.4,43.9,1.6,0.0,12.5,34.9,,0.1,0.0,0.1,.082,,9.5,0.4,10.0,0.2,2019,True
80,James Harden,PG,29,HOU,11,424,25.2,.567,.519,.371,2.5,17.0,10.0,33.7,2.8,2.2,14.2,37.5,,0.9,0.7,1.6,.182,,6.4,1.7,8.1,1.1,2019,True
81,Maurice Harkless,SF,25,POR,16,388,14.4,.537,.257,.330,7.9,13.4,10.7,9.0,2.3,3.4,12.0,15.9,,0.4,0.4,0.8,.097,,-0.6,2.2,1.6,0.3,2019,True
